"id" "protocol_type" "flag" "src_bytes" "logged_in" "count" "srv_count" "serror_rate" "srv_serror_rate" "rerror_rate" "srv_rerror_rate" "diff_srv_rate" "dst_host_diff_srv_rate" "dst_host_same_src_port_rate" "dst_host_serror_rate" "dst_host_srv_serror_rate" "dst_host_rerror_rate" "out"
"30" "icmp" "SF" 520 0 480 480 0 0 0 0 0 0 1 0 0 0 "smurf."
"31" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"32" "tcp" "S0" 0 0 289 15 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"33" "tcp" "SF" 264 1 2 3 0 0 0 0 0 0 0.03 0 0 0 "normal."
"34" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"35" "udp" "SF" 146 0 1 1 0 0 0 0 0 0.77 0.99 0 0 0 "normal."
"36" "tcp" "S0" 0 0 288 13 1 1 0 0 0.06 0.08 0 1 1 0 "neptune."
"37" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"38" "tcp" "SF" 222 1 26 28 0 0 0 0 0 0 0 0 0 0 "normal."
"39" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"40" "tcp" "SF" 289 1 31 31 0 0 0 0 0 0 0.01 0 0 0 "normal."
"41" "tcp" "S0" 0 0 123 20 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"42" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"43" "tcp" "S0" 0 0 234 16 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"44" "tcp" "S0" 0 0 216 8 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"45" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"46" "tcp" "REJ" 0 0 1 1 0 0 1 1 0 0 0.02 0 0 1 "normal."
"47" "tcp" "SF" 337 1 7 12 0 0 0 0 0 0 0.01 0.02 0.01 0 "normal."
"48" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"49" "tcp" "S0" 0 0 147 18 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"50" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"51" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"52" "tcp" "SF" 214 1 5 5 0 0 0 0 0 0 0 0 0 0 "normal."
"53" "tcp" "S0" 0 0 223 5 1 1 0 0 0.06 0.08 0 1 1 0 "neptune."
"54" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"55" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"56" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"57" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"58" "udp" "SF" 105 0 1 1 0 0 0 0 0 0.01 0 0 0 0 "normal."
"59" "icmp" "SF" 520 0 459 459 0 0 0 0 0 0 1 0 0 0 "smurf."
"60" "tcp" "S0" 0 0 109 13 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"61" "tcp" "S0" 0 0 238 6 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"62" "tcp" "SF" 348 1 8 8 0 0 0 0 0 0 0 0 0 0 "normal."
"63" "tcp" "SF" 148 1 1 1 0 0 0 0 0 0 1 0 0 0 "normal."
"64" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"65" "icmp" "SF" 1032 0 504 504 0 0 0 0 0 0 1 0 0 0 "smurf."
"66" "tcp" "SF" 306 1 3 3 0 0 0 0 0 0.01 0 0 0 0 "normal."
"67" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"68" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"69" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"70" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"71" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"72" "tcp" "REJ" 0 0 202 1 0 0 1 1 0.07 0.07 0 0 0 1 "neptune."
"73" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"74" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"75" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"76" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"77" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"78" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"79" "tcp" "REJ" 0 0 238 15 0 0 1 1 0.07 0.07 0 0 0 1 "neptune."
"80" "tcp" "SF" 318 1 26 26 0 0 0 0 0 0 0.04 0 0 0 "normal."
"81" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"82" "tcp" "S0" 0 0 226 12 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"83" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"84" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"85" "tcp" "S0" 0 0 252 4 1 1 0 0 0.06 0.08 0 1 1 0 "neptune."
"86" "tcp" "SF" 1352 1 1 2 0 0 0 0 0 0.04 0.01 0 0 0 "normal."
"87" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"88" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"89" "tcp" "SF" 296 1 27 27 0.04 0.04 0 0 0 0 0.01 0 0 0.01 "normal."
"90" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"91" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"92" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"93" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"94" "tcp" "SF" 187 1 4 7 0 0 0 0 0 0 0 0 0 0 "normal."
"95" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"96" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"97" "tcp" "SF" 329 1 2 10 0 0 0 0 0 0 0.25 0 0 0 "normal."
"98" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"99" "tcp" "S0" 0 0 211 6 1 1 0 0 0.06 0.05 0 1 1 0 "neptune."
"100" "tcp" "S0" 0 0 221 20 1 1 0 0 0.05 0.07 0 1 1 0 "neptune."
"101" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"102" "tcp" "REJ" 0 0 208 5 0 0 1 1 0.07 0.07 0 0 0 1 "neptune."
"103" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"104" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"105" "udp" "SF" 45 0 29 95 0 0 0 0 0 0 0 0 0 0 "normal."
"106" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"107" "icmp" "SF" 520 0 481 481 0 0 0 0 0 0 1 0 0 0 "smurf."
"108" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"109" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"110" "tcp" "SF" 188 1 4 5 0 0 0 0 0 0 0.25 0 0 0 "normal."
"111" "tcp" "SF" 340 1 2 2 0 0 0 0 0 0 0.12 0 0 0 "normal."
"112" "tcp" "S0" 0 0 213 12 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"113" "tcp" "S0" 0 0 209 6 1 1 0 0 0.07 0.08 0 1 1 0 "neptune."
"114" "tcp" "SF" 850 1 2 1 0 0 0 0 1 0.62 0 0 0 0 "normal."
"115" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"116" "tcp" "SF" 338 1 4 4 0 0 0 0 0 0 0.07 0 0 0 "normal."
"117" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"118" "tcp" "S0" 0 0 148 3 1 1 0 0 0.05 0.05 0 1 1 0 "neptune."
"119" "tcp" "SF" 10 1 1 1 0 0 0 0 0 0.03 0 0 0 0 "normal."
"120" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"121" "tcp" "SF" 216 1 10 18 0 0 0 0 0 0 0.01 0 0 0 "normal."
"122" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"123" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"124" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"125" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"126" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"127" "tcp" "SF" 238 1 1 18 0 0 0 0 0 0 0 0 0 0 "normal."
"128" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"129" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"130" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"131" "icmp" "SF" 520 0 451 451 0 0 0 0 0 0 1 0 0 0 "smurf."
"132" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"133" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"134" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"135" "tcp" "S0" 0 0 144 17 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"136" "tcp" "S0" 0 0 126 4 1 1 0 0 0.06 0.05 0 1 1 0 "neptune."
"137" "tcp" "S0" 0 0 205 17 1 1 0 0 0.07 0.07 0 1 1 0 "neptune."
"138" "tcp" "REJ" 0 0 144 20 0 0 1 1 0.06 0.07 0 0 0 1 "neptune."
"139" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"140" "icmp" "SF" 1032 0 507 507 0 0 0 0 0 0 1 0 0 0 "smurf."
"141" "tcp" "S0" 0 0 209 14 1 1 0 0 0.07 0.07 0 1 1 0 "neptune."
"142" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"143" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"144" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"145" "icmp" "SF" 520 0 444 444 0 0 0 0 0 0 1 0 0 0 "smurf."
"146" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"147" "tcp" "REJ" 0 0 273 17 0 0 1 1 0.06 0.07 0 0 0 1 "neptune."
"148" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"149" "tcp" "S0" 0 0 148 24 1 1 0 0 0.05 0.05 0 1 1 0 "neptune."
"150" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"151" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"152" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"153" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"154" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"155" "tcp" "SF" 339 1 12 12 0 0 0 0 0 0 0 0 0 0 "normal."
"156" "tcp" "REJ" 0 0 1 1 0 0 1 1 0 0 0.03 0 0 1 "normal."
"157" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"158" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"159" "tcp" "REJ" 0 0 300 20 0 0 1 1 0.06 0.07 0 0 0 1 "neptune."
"160" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"161" "tcp" "REJ" 0 0 147 18 0 0 1 1 0.05 0.06 0 0 0 1 "neptune."
"162" "tcp" "S0" 0 0 134 3 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"163" "tcp" "S0" 0 0 122 14 1 1 0 0 0.07 0.07 0 1 1 0 "neptune."
"164" "tcp" "S0" 0 0 248 6 1 1 0 0 0.05 0.06 0 1 1 0 "neptune."
"165" "tcp" "S0" 0 0 175 14 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"166" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"167" "tcp" "REJ" 0 0 115 12 0 0 1 1 0.07 0.07 0 0 0 1 "neptune."
"168" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"169" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"170" "tcp" "S0" 0 0 228 14 1 1 0 0 0.05 0.06 0 1 1 0 "neptune."
"171" "tcp" "SF" 5558 1 13 13 0 0 0 0 0 0.04 0.25 0.01 0 0 "normal."
"172" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"173" "udp" "SF" 147 0 1 1 0 0 0 0 0 0.85 1 0 0 0 "normal."
"174" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"175" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"176" "tcp" "S0" 0 0 108 8 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"177" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"178" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"179" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"180" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"181" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"182" "tcp" "S0" 0 0 215 3 1 1 0 0 0.07 0.08 0 1 1 0 "neptune."
"183" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"184" "tcp" "S0" 0 0 119 16 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"185" "tcp" "SF" 280 1 4 4 0 0 0 0 0 0 0.25 0 0 0 "normal."
"186" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"187" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"188" "tcp" "SF" 1496 1 1 1 0 0 0 0 0 0.02 0.01 0 0 0 "normal."
"189" "tcp" "S0" 0 0 269 6 1 1 0 0 0.06 0.09 0 1 1 0 "neptune."
"190" "tcp" "S0" 0 0 130 20 1 1 0 0 0.05 0.06 0 1 1 0 "neptune."
"191" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"192" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"193" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"194" "tcp" "SF" 305 1 4 4 0 0 0 0 0 0.01 0 0 0 0 "normal."
"195" "tcp" "SF" 309 1 21 36 0 0 0 0 0 0 0 0 0 0 "normal."
"196" "tcp" "SF" 1699 0 5 5 0 0 0 0 0 0.02 0.3 0.01 0 0 "normal."
"197" "tcp" "S0" 0 0 279 18 1 1 0 0 0.04 0.06 0 1 1 0 "neptune."
"198" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"199" "tcp" "S0" 0 0 224 18 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"200" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"201" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"202" "tcp" "SF" 308 1 11 11 0 0 0 0 0 0 0 0 0 0 "normal."
"203" "tcp" "S0" 0 0 211 11 1 1 0 0 0.06 0.08 0 1 1 0 "neptune."
"204" "udp" "SF" 45 0 50 112 0 0 0 0 0 0.01 0 0 0 0 "normal."
"205" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"206" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"207" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"208" "tcp" "SF" 206 1 2 25 0 0 0 0 0 0 0.01 0 0 0 "normal."
"209" "tcp" "S0" 0 0 266 9 1 1 0 0 0.05 0.05 0 1 1 0 "neptune."
"210" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"211" "tcp" "S0" 0 0 252 5 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"212" "tcp" "REJ" 0 0 242 8 0 0 1 1 0.07 0.07 0 0 0 1 "neptune."
"213" "tcp" "SF" 218 1 6 6 0 0 0 0 0 0 0.01 0 0 0 "normal."
"214" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"215" "tcp" "S0" 0 0 296 25 1 1 0 0 0.05 0.05 0 1 1 0 "neptune."
"216" "tcp" "S0" 0 0 114 8 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"217" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"218" "tcp" "SF" 216 1 4 4 0 0 0 0 0 0 0.25 0 0 0 "normal."
"219" "tcp" "SF" 14052 1 18 18 0 0 0 0 0 0.07 0.73 0 0 0 "normal."
"220" "tcp" "SF" 299 1 12 12 0 0 0 0 0 0 0 0 0 0 "normal."
"221" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"222" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"223" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"224" "tcp" "SF" 172 1 9 9 0 0 0 0 0 0 0.02 0 0 0 "normal."
"225" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"226" "tcp" "SF" 383 1 2 2 0 0 0 0 0 0.05 0.05 0 0 0 "normal."
"227" "tcp" "S0" 0 0 106 4 1 1 0 0 0.07 0.06 0 1 1 0 "neptune."
"228" "icmp" "SF" 520 0 463 463 0 0 0 0 0 0 1 0 0 0 "smurf."
"229" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"230" "icmp" "SF" 520 0 449 449 0 0 0 0 0 0 1 0 0 0 "smurf."
"231" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"232" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"233" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"234" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"235" "tcp" "S0" 0 0 231 13 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"236" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"237" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"238" "udp" "SF" 146 0 1 1 0 0 0 0 0 0.49 0.68 0 0 0 "normal."
"239" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"240" "tcp" "S0" 0 0 195 16 1 1 0 0 0.07 0.07 0 1 1 0 "neptune."
"241" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"242" "tcp" "S0" 0 0 113 13 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"243" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"244" "icmp" "SF" 520 0 449 449 0 0 0 0 0 0 1 0 0 0 "smurf."
"245" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"246" "tcp" "S0" 0 0 117 11 1 1 0 0 0.07 0.07 0 1 1 0 "neptune."
"247" "icmp" "SF" 520 0 436 436 0 0 0 0 0 0 1 0 0 0 "smurf."
"248" "tcp" "SF" 301 1 3 3 0 0 0 0 0 0 0.06 0 0 0 "normal."
"249" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"250" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"251" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"252" "icmp" "SF" 520 0 436 436 0 0 0 0 0 0 1 0 0 0 "smurf."
"253" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"254" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"255" "tcp" "SF" 176 1 18 18 0 0 0 0 0 0 0.02 0 0 0 "normal."
"256" "tcp" "REJ" 0 0 237 12 0 0 1 1 0.07 0.07 0 0 0 1 "neptune."
"257" "icmp" "SF" 1032 0 509 509 0 0 0 0 0 0 1 0 0 0 "smurf."
"258" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"259" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"260" "udp" "SF" 147 0 1 1 0 0 0 0 0 0.91 0.99 0 0 0 "normal."
"261" "tcp" "REJ" 0 0 254 15 0 0 1 1 0.06 0.07 0 0 0 1 "neptune."
"262" "icmp" "SF" 520 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"263" "tcp" "S0" 0 0 5 1 1 1 0 0 0.8 0.08 0 1 1 0 "neptune."
"264" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"265" "udp" "SF" 48 0 1 1 0 0 0 0 0 0.04 0.33 0 0 0 "normal."
"266" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"267" "icmp" "SF" 520 0 465 465 0 0 0 0 0 0 1 0 0 0 "smurf."
"268" "tcp" "REJ" 0 0 134 10 0 0 1 1 0.06 0.07 0 0 0 1 "neptune."
"269" "tcp" "S0" 0 0 217 8 1 1 0 0 0.06 0.06 0 1 1 0 "neptune."
"270" "icmp" "SF" 520 0 491 491 0 0 0 0 0 0 1 0 0 0 "smurf."
"271" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"272" "tcp" "S0" 0 0 163 9 1 1 0 0 0.09 0.1 0 1 1 0 "neptune."
"273" "tcp" "S0" 0 0 267 13 1 1 0 0 0.06 0.07 0 1 1 0 "neptune."
"274" "udp" "SF" 45 0 13 76 0 0 0 0 0.15 0.01 0 0 0 0 "normal."
"275" "icmp" "SF" 1032 0 510 510 0 0 0 0 0 0 1 0 0 0 "smurf."
"276" "tcp" "SF" 1326 1 1 1 0 0 0 0 0 0.04 0.01 0 0 0 "normal."
"277" "tcp" "SF" 863 1 1 1 0 0 0 0 0 0.02 0 0 0 0 "normal."
"278" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"279" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
"280" "tcp" "SF" 658 1 1 1 0 0 0 0 0 0.02 0 0 0 0 "normal."
"281" "icmp" "SF" 1032 0 511 511 0 0 0 0 0 0 1 0 0 0 "smurf."
